Individual,Class,Amount,Unit
HoneyProtein,SubstancePortion,0.3,g/100g
HoneySodium,SubstancePortion,4,mg/100g
HoneyVitaminC,SubstancePortion,0.5,mg/100g
HoneyVitaminB9,SubstancePortion,0.00042,mg/100g
MapleSyrupCalcium,SubstancePortion,102,mg/100g
MapleSyrupCarbohydrate,SubstancePortion,67.04,g/100g
MapleSyrupFat,SubstancePortion,0.06,g/100g
MapleSyrupFoodEnergy,SubstancePortion,260,cal/100g
MapleSyrupIron,SubstancePortion,0.11,mg/100g
MapleSyrupPotassium,SubstancePortion,212,mg/100g
MapleSyrupProtein,SubstancePortion,0.04,g/100g
MapleSyrupSodium,SubstancePortion,12,mg/100g
MapleSyrupZinc,SubstancePortion,0.82,mg/100g
KetchupCalcium,SubstancePortion,15,mg/100g
KetchupCarbohydrate,SubstancePortion,25.08,g/100g
KetchupFat,SubstancePortion,0.38,g/100g
KetchupFoodEnergy,SubstancePortion,97,cal/100g
KetchupIron,SubstancePortion,0.26,mg/100g
KetchupPotassium,SubstancePortion,321,mg/100g
KetchupProtein,SubstancePortion,1.74,g/100g
KetchupSodium,SubstancePortion,907,mg/100g
KetchupVitaminA,SubstancePortion,0.015,mg/100g
KetchupVitaminC,SubstancePortion,15.1,mg/100g
KetchupZinc,SubstancePortion,0.17,mg/100g
KetchupVitaminB9,SubstancePortion,0.004,mg/100g
BalsamicVinaigretteCarbohydrate,SubstancePortion,5,g/100g
BalsamicVinaigretteFat,SubstancePortion,71.3,g/100g
BalsamicVinaigretteFoodEnergy,SubstancePortion,628,cal/100g
BalsamicVinaigretteProtein,SubstancePortion,4,g/100g
RedWineVinaigretteCarbohydrate,SubstancePortion,7,g/100g
RedWineVinaigretteFat,SubstancePortion,64,g/100g
RedWineVinaigretteFoodEnergy,SubstancePortion,643,cal/100g
AppleCiderVinaigretteCarbohydrate,SubstancePortion,7,g/100g
AppleCiderVinaigretteFat,SubstancePortion,64,g/100g
AppleCiderVinaigretteFoodEnergy,SubstancePortion,571,cal/100g
VinegarCalcium,SubstancePortion,1.05,mg/100g
VinegarCarbohydrate,SubstancePortion,0.1,g/100g
VinegarFoodEnergy,SubstancePortion,3.2,cal/100g
VinegarIron,SubstancePortion,0.03,mg/100g
VinegarPotassium,SubstancePortion,11,mg/100g
VinegarSodium,SubstancePortion,0.8,mg/100g
BalsamicGlazeCarbohydrate,SubstancePortion,47,g/100g
BalsamicGlazeFoodEnergy,SubstancePortion,233,cal/100g
RanchDressingCarbohydrate,SubstancePortion,5.9,g/100g
RanchDressingFat,SubstancePortion,45,g/100g
RanchDressingFoodEnergy,SubstancePortion,430,cal/100g
RanchDressingProtein,SubstancePortion,1.3,g/100g
RanchDressingSodium,SubstancePortion,901,mg/100g
RanchDressingVitaminA,SubstancePortion,0.015,mg/100g
RanchDressingVitaminE,SubstancePortion,2.2,mg/100g
RanchDressingLutein,SubstancePortion,0.004,mg/100g
RanchDressingZeaxanthin,SubstancePortion,0.004,mg/100g
RanchDressingZinc,SubstancePortion,0.17,mg/100g
RanchDressingOmega-3,SubstancePortion,490,mg/100g
RanchDressingVitaminB9,SubstancePortion,0.004,mg/100g
CaesarDressingCarbohydrate,SubstancePortion,3.3,g/100g
CaesarDressingFat,SubstancePortion,58,g/100g
CaesarDressingFoodEnergy,SubstancePortion,542,cal/100g
CaesarDressingProtein,SubstancePortion,2.2,g/100g
CaesarDressingVitaminA,SubstancePortion,0.009,mg/100g
CaesarDressingVitaminC,SubstancePortion,0.3,mg/100g
CaesarDressingVitaminE,SubstancePortion,4.7,mg/100g
CaesarDressingLutein,SubstancePortion,0.004,mg/100g
CaesarDressingZeaxanthin,SubstancePortion,0.004,mg/100g
CaesarDressingZinc,SubstancePortion,0.1,mg/100g
CaesarDressingOmega-3,SubstancePortion,566,mg/100g
CaesarDressingVitaminB9,SubstancePortion,0.012,mg/100g
BaconVitaminE,SubstancePortion,0.43,mg/100g
BaconZinc,SubstancePortion,1.2,mg/100g
BaconOmega-3,SubstancePortion,230,mg/100g
DeliHamVitaminE,SubstancePortion,0.24,mg/100g
DeliHamZinc,SubstancePortion,1.2,mg/100g
DeliHamVitaminB9,SubstancePortion,0.01,mg/100g
DicedChickenVitaminE,SubstancePortion,0.27,mg/100g
DicedChickenZinc,SubstancePortion,1.9,mg/100g
DicedChickenVitaminB9,SubstancePortion,0.004,mg/100g
DeliTurkeyVitaminE,SubstancePortion,0.1,mg/100g
DeliTurkeyZinc,SubstancePortion,2.38,mg/100g
CookedTurkeyVitaminE,SubstancePortion,0.09,mg/100g
CookedTurkeyZinc,SubstancePortion,2.38,mg/100g
TunaVitaminE,SubstancePortion,0.29,mg/100g
TunaZinc,SubstancePortion,0.45,mg/100g
TunaOmega-3,SubstancePortion,1000,mg/100g
CrabZinc,SubstancePortion,8,mg/100g
CrabOmega-3,SubstancePortion,300,mg/100g
CrabVitaminB9,SubstancePortion,0.1,mg/100g
HardBoiledEggsVitaminE,SubstancePortion,1.05,mg/100g
HardBoiledEggsLutein,SubstancePortion,0.3,mg/100g
HardBoiledEggsZeaxanthin,SubstancePortion,0.3,mg/100g
HardBoiledEggsZinc,SubstancePortion,1.29,mg/100g
HardBoiledEggsOmega-3,SubstancePortion,300,mg/100g
HardBoiledEggsVitaminB9,SubstancePortion,0.047,mg/100g
AppleVitaminE,SubstancePortion,0.2,mg/100g
PineappleVitaminE,SubstancePortion,0.2,mg/100g
PineappleZinc,SubstancePortion,1,mg/100g
StrawberriesVitaminE,SubstancePortion,0.29,mg/100g
StrawberriesZinc,SubstancePortion,0.14,mg/100g
StrawberriesOmega-3,SubstancePortion,65,mg/100g
StrawberriesVitaminB9,SubstancePortion,0.024,mg/100g
BlueberriesVitaminE,SubstancePortion,0.57,mg/100g
BlueberriesZinc,SubstancePortion,0.16,mg/100g
BlueberriesOmega-3,SubstancePortion,58,mg/100g
BlueberriesVitaminB9,SubstancePortion,0.006,mg/100g
KiwiVitaminE,SubstancePortion,1.5,mg/100g
KiwiZinc,SubstancePortion,0.14,mg/100g
GrapesVitaminE,SubstancePortion,0.17,mg/100g
GrapesLutein,SubstancePortion,0.066,mg/100g
GrapesZeaxanthin,SubstancePortion,0.066,mg/100g
GrapesZinc,SubstancePortion,0.07,mg/100g
GrapesOmega-3,SubstancePortion,11,mg/100g
GrapesVitaminB9,SubstancePortion,0.002,mg/100g
MangoVitaminE,SubstancePortion,2.46,mg/100g
MangoLutein,SubstancePortion,0.038,mg/100g
MangoZeaxanthin,SubstancePortion,0.038,mg/100g
MangoZinc,SubstancePortion,0.11,mg/100g
MangoVitaminB9,SubstancePortion,0.053,mg/100g
FigsVitaminE,SubstancePortion,0.11,mg/100g
FigsZinc,SubstancePortion,0.15,mg/100g
FigsVitaminB9,SubstancePortion,0.006,mg/100g
BlueCheeseCrumblesVitaminE,SubstancePortion,0.25,mg/100g
BlueCheeseCrumblesZinc,SubstancePortion,2.66,mg/100g
BlueCheeseCrumblesOmega-3,SubstancePortion,0.083,mg/100g
BlueCheeseCrumblesVitaminB9,SubstancePortion,0.032,mg/100g
FetaCubesOrCrumblesVitaminE,SubstancePortion,0.18,mg/100g
FetaCubesOrCrumblesZinc,SubstancePortion,2.88,mg/100g
FetaCubesOrCrumblesVitaminB9,SubstancePortion,0.032,mg/100g
MozzarellaVitaminE,SubstancePortion,0.05,mg/100g
MozzarellaZinc,SubstancePortion,2.83,mg/100g
MozzarellaVitaminB9,SubstancePortion,0.002,mg/100g
CheddarCheeseVitaminE,SubstancePortion,0.71,mg/100g
CheddarCheeseZinc,SubstancePortion,3.11,mg/100g
CheddarCheeseOmega-3,SubstancePortion,0.114,mg/100g
CheddarCheeseVitaminB9,SubstancePortion,0.007,mg/100g
ParmesanCheeseVitaminE,SubstancePortion,0.1,mg/100g
ParmesanCheeseZinc,SubstancePortion,3.93,mg/100g
ParmesanCheeseVitaminB9,SubstancePortion,0.002,mg/100g
LettuceVitaminE,SubstancePortion,0.22,mg/100g
LettuceLutein,SubstancePortion,1.73,mg/100g
LettuceZeaxanthin,SubstancePortion,1.73,mg/100g
LettuceZinc,SubstancePortion,0.18,mg/100g
LettuceVitaminB9,SubstancePortion,0.038,mg/100g
MandarinOrangesVitaminE,SubstancePortion,0.25,mg/100g
MandarinOrangesLutein,SubstancePortion,0.406,mg/100g
MandarinOrangesZeaxanthin,SubstancePortion,0.406,mg/100g
MandarinOrangesVitaminB9,SubstancePortion,0.012,mg/100g
GrapesRaisinsVitaminE,SubstancePortion,0.12,mg/100g
GrapesRaisinsZinc,SubstancePortion,0.18,mg/100g
GrapesRaisinsVitaminB9,SubstancePortion,0.003,mg/100g
FetaCubesOrCrumblesOmega-3,SubstancePortion,0.083,mg/100g
MozzarellaOmega-3,SubstancePortion,0.083,mg/100g
ParmesanCheeseOmega-3,SubstancePortion,0.083,mg/100g
WhiteCabbageVitaminE,SubstancePortion,0.15,mg/100g
WhiteCabbageLutein,SubstancePortion,0.03,mg/100g
WhiteCabbageZeaxanthin,SubstancePortion,0.03,mg/100g
WhiteCabbageZinc,SubstancePortion,0.18,mg/100g
WhiteCabbageVitaminB9,SubstancePortion,0.043,mg/100g
RedCabbageVitaminE,SubstancePortion,0.11,mg/100g
RedCabbageLutein,SubstancePortion,0.329,mg/100g
RedCabbageZeaxanthin,SubstancePortion,0.329,mg/100g
RedCabbageZinc,SubstancePortion,0.18,mg/100g
RedCabbageVitaminB9,SubstancePortion,0.043,mg/100g
NapaCabbageVitaminE,SubstancePortion,0.01,mg/100g
NapaCabbageLutein,SubstancePortion,0.0056,mg/100g
NapaCabbageZeaxanthin,SubstancePortion,0.0056,mg/100g
NapaCabbageZinc,SubstancePortion,0.18,mg/100g
NapaCabbageVitaminB9,SubstancePortion,0.079,mg/100g
GreenCabbageVitaminE,SubstancePortion,0.15,mg/100g
GreenCabbageLutein,SubstancePortion,0.03,mg/100g
GreenCabbageZeaxanthin,SubstancePortion,0.03,mg/100g
GreenCabbageZinc,SubstancePortion,0.18,mg/100g
GreenCabbageVitaminB9,SubstancePortion,0.043,mg/100g
ParsleyVitaminE,SubstancePortion,8.96,mg/100g
ParsleyLutein,SubstancePortion,2.428,mg/100g
ParsleyZeaxanthin,SubstancePortion,2.428,mg/100g
ParsleyZinc,SubstancePortion,1.07,mg/100g
ParsleyVitaminB9,SubstancePortion,0.152,mg/100g
CeleryLeavesVitaminE,SubstancePortion,0.27,mg/100g
CeleryLeavesLutein,SubstancePortion,0.2,mg/100g
CeleryLeavesZeaxanthin,SubstancePortion,0.2,mg/100g
CeleryLeavesZinc,SubstancePortion,0.13,mg/100g
CeleryLeavesVitaminB9,SubstancePortion,0.036,mg/100g
RomaineLettuceVitaminE,SubstancePortion,0.12,mg/100g
RomaineLettuceLutein,SubstancePortion,0.5465,mg/100g
RomaineLettuceZeaxanthin,SubstancePortion,0.5465,mg/100g
RomaineLettuceZinc,SubstancePortion,0.18,mg/100g
RomaineLettuceOmega-3,SubstancePortion,0.11,mg/100g
RomaineLettuceVitaminB9,SubstancePortion,0.136,mg/100g
IcebergLettuceVitaminE,SubstancePortion,0.18,mg/100g
IcebergLettuceLutein,SubstancePortion,0.1,mg/100g
IcebergLettuceZeaxanthin,SubstancePortion,0.1,mg/100g
IcebergLettuceZinc,SubstancePortion,0.18,mg/100g
IcebergLettuceVitaminB9,SubstancePortion,0.029,mg/100g
BostonLettuceVitaminE,SubstancePortion,0.01,mg/100g
BostonLettuceLutein,SubstancePortion,0.0917,mg/100g
BostonLettuceZeaxanthin,SubstancePortion,0.0917,mg/100g
BostonLettuceZinc,SubstancePortion,0.18,mg/100g
BostonLettuceVitaminB9,SubstancePortion,0.0055,mg/100g
CarrotsVitaminE,SubstancePortion,0.48,mg/100g
CarrotsLutein,SubstancePortion,0.184,mg/100g
CarrotsZeaxanthin,SubstancePortion,0.184,mg/100g
CarrotsZinc,SubstancePortion,0.17,mg/100g
CarrotsVitaminB9,SubstancePortion,0.024,mg/100g
RadishesLutein,SubstancePortion,0.01,mg/100g
RadishesZeaxanthin,SubstancePortion,0.01,mg/100g
RadishesZinc,SubstancePortion,0.2,mg/100g
RadishesVitaminB9,SubstancePortion,0.025,mg/100g
RedOnionVitaminE,SubstancePortion,0.6,mg/100g
RedOnionLutein,SubstancePortion,0.01,mg/100g
RedOnionZeaxanthin,SubstancePortion,0.01,mg/100g
RedOnionZinc,SubstancePortion,2.97,mg/100g
RedOnionVitaminB9,SubstancePortion,0.019,mg/100g
WhiteOnionVitaminE,SubstancePortion,0.03,mg/100g
WhiteOnionLutein,SubstancePortion,0.01,mg/100g
WhiteOnionZeaxanthin,SubstancePortion,0.01,mg/100g
WhiteOnionZinc,SubstancePortion,0.2,mg/100g
WhiteOnionVitaminB9,SubstancePortion,0.019,mg/100g
GreenOnionsVitaminE,SubstancePortion,0.55,mg/100g
GreenOnionsLutein,SubstancePortion,0.1,mg/100g
GreenOnionsZeaxanthin,SubstancePortion,0.1,mg/100g
GreenOnionsZinc,SubstancePortion,0.39,mg/100g
GreenOnionsVitaminB9,SubstancePortion,0.064,mg/100g
CeleryVitaminE,SubstancePortion,0.27,mg/100g
CeleryLutein,SubstancePortion,0.1,mg/100g
CeleryZeaxanthin,SubstancePortion,0.1,mg/100g
CeleryZinc,SubstancePortion,0.13,mg/100g
CeleryVitaminB9,SubstancePortion,0.036,mg/100g
GarlicVitaminE,SubstancePortion,0.08,mg/100g
GarlicZinc,SubstancePortion,1.16,mg/100g
GarlicVitaminB9,SubstancePortion,0.003,mg/100g
ShallotsVitaminE,SubstancePortion,0.1,mg/100g
ShallotsZinc,SubstancePortion,0.4,mg/100g
ShallotsVitaminB9,SubstancePortion,0.034,mg/100g
TomatoVitaminE,SubstancePortion,0.54,mg/100g
TomatoLutein,SubstancePortion,0.123,mg/100g
TomatoZeaxanthin,SubstancePortion,0.123,mg/100g
TomatoZinc,SubstancePortion,0.17,mg/100g
TomatoVitaminB9,SubstancePortion,0.015,mg/100g
CherryTomatoVitaminE,SubstancePortion,0.54,mg/100g
CherryTomatoLutein,SubstancePortion,0.123,mg/100g
CherryTomatoZeaxanthin,SubstancePortion,0.123,mg/100g
CherryTomatoZinc,SubstancePortion,0.17,mg/100g
CherryTomatoVitaminB9,SubstancePortion,0.015,mg/100g
CucumberVitaminE,SubstancePortion,0.03,mg/100g
CucumberZinc,SubstancePortion,0.2,mg/100g
CucumberVitaminB9,SubstancePortion,0.007,mg/100g
OlivesVitaminE,SubstancePortion,3.81,mg/100g
OlivesZinc,SubstancePortion,0.22,mg/100g
OlivesVitaminB9,SubstancePortion,0.003,mg/100g
AvocadoVitaminE,SubstancePortion,2.66,mg/100g
AvocadoLutein,SubstancePortion,0.185,mg/100g
AvocadoZeaxanthin,SubstancePortion,0.185,mg/100g
AvocadoZinc,SubstancePortion,0.64,mg/100g
AvocadoVitaminB9,SubstancePortion,0.089,mg/100g
BellPepperVitaminE,SubstancePortion,0.37,mg/100g
BellPepperLutein,SubstancePortion,0.051,mg/100g
BellPepperZeaxanthin,SubstancePortion,0.051,mg/100g
BellPepperZinc,SubstancePortion,0.13,mg/100g
BellPepperVitaminB9,SubstancePortion,0.056,mg/100g
AsparagusVitaminE,SubstancePortion,1.5,mg/100g
AsparagusLutein,SubstancePortion,0.951,mg/100g
AsparagusZeaxanthin,SubstancePortion,0.951,mg/100g
AsparagusZinc,SubstancePortion,0.54,mg/100g
AsparagusVitaminB9,SubstancePortion,0.07,mg/100g
ChickpeasVitaminE,SubstancePortion,1,mg/100g
ChickpeasZinc,SubstancePortion,3,mg/100g
ChickpeasVitaminB9,SubstancePortion,0.172,mg/100g
BlackBeansZinc,SubstancePortion,1.12,mg/100g
BlackBeansVitaminB9,SubstancePortion,0.149,mg/100g
KidneyBeansVitaminE,SubstancePortion,1.54,mg/100g
KidneyBeansZinc,SubstancePortion,1.07,mg/100g
KidneyBeansOmega-3,SubstancePortion,0.36,mg/100g
KidneyBeansVitaminB9,SubstancePortion,0.131,mg/100g
PastaZinc,SubstancePortion,1.1,mg/100g
PastaVitaminB9,SubstancePortion,0.026,mg/100g
BulgurVitaminE,SubstancePortion,0.01,mg/100g
BulgurZinc,SubstancePortion,1.04,mg/100g
BulgurVitaminB9,SubstancePortion,0.018,mg/100g
GreenBeansVitaminE,SubstancePortion,0.46,mg/100g
GreenBeansLutein,SubstancePortion,0.641,mg/100g
GreenBeansZeaxanthin,SubstancePortion,0.641,mg/100g
GreenBeansZinc,SubstancePortion,0.24,mg/100g
GreenBeansVitaminB9,SubstancePortion,0.041,mg/100g
WaxBeansVitaminE,SubstancePortion,0.94,mg/100g
WaxBeansZinc,SubstancePortion,1.1,mg/100g
CookedPastaVitaminE,SubstancePortion,0.06,mg/100g
CookedPastaLutein,SubstancePortion,0.007,mg/100g
CookedPastaZeaxanthin,SubstancePortion,0.007,mg/100g
CookedPastaZinc,SubstancePortion,0.27,mg/100g
CookedPastaVitaminB9,SubstancePortion,0.007,mg/100g
BulgurLutein,SubstancePortion,0.054,mg/100g
BulgurZeaxanthin,SubstancePortion,0.054,mg/100g
BulgurOmega-3,SubstancePortion,0.004,mg/100g
GarbanzoBeansVitaminE,SubstancePortion,1,mg/100g
GarbanzoBeansZinc,SubstancePortion,3,mg/100g
GarbanzoBeansVitaminB9,SubstancePortion,0.172,mg/100g
PickleRelishVitaminE,SubstancePortion,0.58,mg/100g
PickleRelishLutein,SubstancePortion,0.059,mg/100g
PickleRelishZeaxanthin,SubstancePortion,0.059,mg/100g
PickleRelishZinc,SubstancePortion,0.14,mg/100g
PickleRelishVitaminB9,SubstancePortion,0.001,mg/100g
PaprikaVitaminE,SubstancePortion,2.0,mg/100g
PaprikaZinc,SubstancePortion,0.3,mg/100g
PaprikaOmega-3,SubstancePortion,31,mg/100g
PaprikaVitaminB9,SubstancePortion,0.005,mg/100g
CroutonsVitaminE,SubstancePortion,0.4,mg/100g
CroutonsZinc,SubstancePortion,0.89,mg/100g
BreadVitaminE,SubstancePortion,2.66,mg/100g
BreadOmega-3,SubstancePortion,89,mg/100g
BreadVitaminB9,SubstancePortion,0.085,mg/100g
GreekYogurtZinc,SubstancePortion,0.89,mg/100g
GreekYogurtVitaminE,SubstancePortion,0.25,mg/100g
RanchVitaminE,SubstancePortion,0.2,mg/100g
RanchZinc,SubstancePortion,0.1,mg/100g
RanchOmega-3,SubstancePortion,100,mg/100g
MayonnaiseZinc,SubstancePortion,0.18,mg/100g
MayonnaiseOmega-3,SubstancePortion,1000,mg/100g
HeavyCreamVitaminE,SubstancePortion,3,mg/100g
HeavyCreamZinc,SubstancePortion,1,mg/100g
BalsamicVinaigretteOmega-3,SubstancePortion,400,mg/100g
RedWineVinaigretteVitaminE,SubstancePortion,3,mg/100g
LimeJuiceOmega-3,SubstancePortion,19,mg/100g
HoneyZinc,SubstancePortion,0.05,mg/100g
KetchupVitaminE,SubstancePortion,1.5,mg/100g
WalnutCarbohydrate,SubstancePortion,14000,mg/100g
WalnutFat,SubstancePortion,65000,mg/100g
WalnutFoodEnergy,SubstancePortion,654,cal/100g
WalnutIron,SubstancePortion,3,mg/100g
WalnutPotassium,SubstancePortion,441,mg/100g
WalnutProtein,SubstancePortion,15000,mg/100g
WalnutSodium,SubstancePortion,2,mg/100g
WalnutVitaminA,SubstancePortion,0.012,mg/100g
WalnutVitaminC,SubstancePortion,0.4,mg/100g
WalnutVitaminE,SubstancePortion,0.2,mg/100g
WalnutZinc,SubstancePortion,0.88,mg/100g
WalnutOmega-3,SubstancePortion,9100,mg/100g
WalnutVitaminB9,SubstancePortion,0.098,mg/100g
RedGrapeCarbohydrate,SubstancePortion,17700,mg/100g
RedGrapeFoodEnergy,SubstancePortion,69,cal/100g
RedGrapeIron,SubstancePortion,0.9,mg/100g
RedGrapePotassium,SubstancePortion,487.3,mg/100g
RedGrapeProtein,SubstancePortion,1200,mg/100g
RedGrapeSodium,SubstancePortion,5.1,mg/100g
RedGrapeVitaminA,SubstancePortion,0.0018,mg/100g
RedGrapeVitaminC,SubstancePortion,3.3,mg/100g
RedGrapeVitaminE,SubstancePortion,0.2,mg/100g
RedGrapeZinc,SubstancePortion,0.04,mg/100g
RedGrapeVitaminB9,SubstancePortion,0.002,mg/100g
WhiteWineVinaigretteCarbohydrate,SubstancePortion,4000,mg/100g
WhiteWineVinaigretteFat,SubstancePortion,28000,mg/100g
WhiteWineVinaigretteFoodEnergy,SubstancePortion,275,cal/100g
WhiteWineVinaigretteIron,SubstancePortion,0.2,mg/100g
WhiteWineVinaigrettePotassium,SubstancePortion,20,mg/100g
WhiteWineVinaigretteProtein,SubstancePortion,100,mg/100g
WhiteWineVinaigretteSodium,SubstancePortion,500,mg/100g
WhiteWineVinaigretteVitaminE,SubstancePortion,1,mg/100g
WhiteWineVinaigretteZinc,SubstancePortion,0.1,mg/100g
WhiteWineVinaigretteOmega-3,SubstancePortion,300,mg/100g
RedPotatoCarbohydrate,SubstancePortion,15900,mg/100g
RedPotatoFat,SubstancePortion,140,mg/100g
RedPotatoFoodEnergy,SubstancePortion,72,cal/100g
RedPotatoIron,SubstancePortion,0.73,mg/100g
RedPotatoPotassium,SubstancePortion,455,mg/100g
RedPotatoProtein,SubstancePortion,1890,mg/100g
RedPotatoSodium,SubstancePortion,6,mg/100g
RedPotatoVitaminC,SubstancePortion,19.7,mg/100g
RedPotatoZinc,SubstancePortion,0.3,mg/100g
RedPotatoVitaminB9,SubstancePortion,0.031,mg/100g
OnionCarbohydrate,SubstancePortion,9100,mg/100g
OnionFat,SubstancePortion,100,mg/100g
OnionFoodEnergy,SubstancePortion,40,cal/100g
OnionIron,SubstancePortion,0.19,mg/100g
OnionPotassium,SubstancePortion,146,mg/100g
OnionProtein,SubstancePortion,920,mg/100g
OnionSodium,SubstancePortion,3,mg/100g
OnionVitaminC,SubstancePortion,6.4,mg/100g
OnionZinc,SubstancePortion,0.17,mg/100g
OnionVitaminB9,SubstancePortion,0.02,mg/100g
FetaCheeseCarbohydrate,SubstancePortion,4090,mg/100g
FetaCheeseCholesterol,SubstancePortion,89,mg/100g
FetaCheeseFat,SubstancePortion,21280,mg/100g
FetaCheeseFoodEnergy,SubstancePortion,264,cal/100g
FetaCheeseIron,SubstancePortion,0.65,mg/100g
FetaCheesePotassium,SubstancePortion,62,mg/100g
FetaCheeseProtein,SubstancePortion,14210,mg/100g
FetaCheeseSodium,SubstancePortion,1116,mg/100g
FetaCheeseVitaminA,SubstancePortion,0.125,mg/100g
FetaCheeseVitaminE,SubstancePortion,0.3,mg/100g
FetaCheeseZinc,SubstancePortion,4.3,mg/100g
FetaCheeseVitaminB9,SubstancePortion,0.05,mg/100g
RedPotatoCarbohydrate,SubstancePortion,15900,mg/100g
RedPotatoFat,SubstancePortion,140,mg/100g
RedPotatoFoodEnergy,SubstancePortion,72,cal/100g
RedPotatoIron,SubstancePortion,0.73,mg/100g
RedPotatoPotassium,SubstancePortion,455,mg/100g
RedPotatoProtein,SubstancePortion,1890,mg/100g
RedPotatoSodium,SubstancePortion,6,mg/100g
RedPotatoVitaminC,SubstancePortion,19.7,mg/100g
RedPotatoZinc,SubstancePortion,0.3,mg/100g
RedPotatoVitaminB9,SubstancePortion,0.018,mg/100g
CookedHamCarbohydrate,SubstancePortion,260,mg/100g
CookedHamCholesterol,SubstancePortion,58,mg/100g
CookedHamFat,SubstancePortion,8340,mg/100g
CookedHamFoodEnergy,SubstancePortion,172,cal/100g
CookedHamIron,SubstancePortion,1.37,mg/100g
CookedHamPotassium,SubstancePortion,386,mg/100g
CookedHamProtein,SubstancePortion,22300,mg/100g
CookedHamSodium,SubstancePortion,1442,mg/100g
CookedHamZinc,SubstancePortion,2.61,mg/100g
